,V,fitness,AH3,AF3,AF5,A3N3,s,tau,lambda1,lambda2,taquiónico,AD5,type
62,33.99527712675452,0.0880879713330222,15.501262930276226,34.941891280768175,77.26370497072023,-65.40831531031947,1.226398458003296,3.5690036992967404,0.201028299633376,453.528627367095,0,,1
63,-8.150536300751057,0.161690936329269,3.034713033292832,7.970389307996186,-67.02177148925357,26.550912855552863,1.226398458003296,3.5690036992967404,-222.659895480251,0.23589421454454,1,,-1
64,-4.361101051710863,0.198553147319536,-5.102705708565324,3.375699922420395,-9.181104271829142,16.70762049151439,1.226398458003296,3.5690036992967404,-57.2655604931713,0.964132114959351,1,,-1
65,-14.9448523247257,0.063182475025551,0.2183052132449034,4.10825562656953,-71.94787536157234,29.16895743872803,1.226398458003296,3.5690036992967404,-288.404759926129,0.0980494247533016,1,,-1
66,42.71099453393591,0.0972598297493898,26.546898405625896,52.31747435277464,69.86553002110546,-87.58952032635912,1.226398458003296,3.5690036992967404,-0.503925157420229,506.79081073296,1,,1
67,46.8897871660722,0.0687737444986404,28.22315108617883,42.61454545007536,65.64048563217781,-79.70025419904015,1.226398458003296,3.5690036992967404,-1.03930462061295,530.500851677597,1,,1
68,32.38950307383442,0.111967572963032,21.41413124334784,35.01398827594298,23.446417713380896,-45.61114196391216,1.226398458003296,3.5690036992967404,-1.11214919750793,315.493586448595,1,,1
69,50.056652996555606,0.0314690337164325,26.68423483304873,41.7822655516475,96.60094823467722,-93.3781860870209,1.226398458003296,3.5690036992967404,-0.539762943949564,628.044169512447,1,,1
70,49.81617832903137,0.118863756341095,42.26784017775401,66.45993725543511,22.490060423407726,-95.9244484596387,1.226398458003296,3.5690036992967404,-3.73174299670726,455.652238499396,1,,1
71,52.00293205033776,0.169453043052194,42.58704875783434,47.72475835049031,8.072724681841478,-76.02484055133121,1.226398458003296,3.5690036992967404,-4.90815873473788,439.929814599877,1,,1
72,12.782027367086805,0.08670666993455,0.0964916676006595,-2.442770155053992,39.60906347285933,-8.37967283838286,1.226398458003296,3.5690036992967404,-0.059009638952263,195.11255829484,1,,1
73,-11.75708572485712,0.100963934868096,4.624848796388164,4.317411818114223,-91.50700439602646,35.21186666080695,1.226398458003296,3.5690036992967404,-309.064348458438,0.207463153235065,1,,-1
74,-10.48817779938032,0.0251847024266592,3.9350469409098414,1.9069379863730944,-74.00005965538156,26.4146638146985,1.226398458003296,3.5690036992967404,-257.770337689638,0.143225039286234,1,,-1
75,-8.588773236795223,0.0900374296167347,6.457883742758625,7.211057949663186,-71.92738953413772,17.738022861206687,1.226398458003296,3.5690036992967404,-237.90135316222,0.428416908210598,1,,-1
76,-8.274411235151724,0.081176253937728,-3.353783306130424,1.3713644347972576,-28.956373910689976,19.933605879712715,1.226398458003296,3.5690036992967404,-134.257743094477,0.18962062997668,1,,-1
77,9.672043930965437,0.115677402381858,9.69678515325154,2.8173140831953702,-12.96306372022184,-6.986472335355586,1.226398458003296,3.5690036992967404,-3.10412856363686,49.8596410970443,1,,1
78,-2.515386581047474,0.0589557472020963,-1.2592159896178288,1.8581849615265185,-10.248159496496784,7.690003331563332,1.226398458003296,3.5690036992967404,-44.2433386967525,0.122718811022017,1,,-1
79,32.41654383766089,0.070197281414808,18.514316147861763,33.55128051493472,47.12723990839851,-54.11121620994184,1.226398458003296,3.5690036992967404,-0.398996156198363,370.641029295315,1,,1
80,43.69005935250156,0.0488840461575722,22.423050945157527,32.83850005871338,76.27536523671344,-70.83427481731749,1.226398458003296,3.5690036992967404,-0.527449075638793,529.232346769378,1,,1
81,37.66050627955791,0.0947113896461558,39.97459892465287,67.08185139735019,-9.015036569443978,-84.64696608315981,1.226398458003296,3.5690036992967404,-5.831081681645,286.706461214702,1,,1
82,45.42185785669069,0.131317633341386,24.00107535580393,38.90990003241029,65.4384109038671,-66.13657011474888,1.226398458003296,3.5690036992967404,-0.565008273527622,517.75128055553,1,,1
83,-6.080648988675164,0.0388705810561616,-0.6401846857706488,0.7600550558193504,-32.54252581652695,17.390722776629246,1.226398458003296,3.5690036992967404,-125.036885592204,0.0250157213720248,1,,-1
