,V,fitness,AH3,AF3,AF5,A3N3,s,tau,lambda1,lambda2,taquiónico,type
83,1.1863813528738891,0.0882409118130485,-1.0191465517963394,0.9531778227896552,12.311863386543706,-4.480411810310713,1.226398458003296,3.5690036992967404,-0.0320129508233483,38.4685962200302,1,1
84,45.78889844466908,0.0450607794718409,30.086442883216307,49.24187258112536,72.83335485013762,-96.10296100461748,1.226398458003296,3.5690036992967404,-1.07450389964974,538.823034981902,1,1
85,45.95394334904524,0.11274517378829,36.701200731338105,43.848009130361845,14.648638557066434,-70.45174562452169,1.226398458003296,3.5690036992967404,-3.75947600353062,405.888843438025,1,1
86,46.839381997983615,0.0413560062349683,32.69756366075126,53.13457420024906,62.68493079790227,-96.30008775358922,1.226398458003296,3.5690036992967404,-1.4713679268563,523.832392397896,1,1
87,53.891463505682935,0.0898214101489793,34.61025890990152,51.54214053542526,67.2463667697283,-93.39164757850004,1.226398458003296,3.5690036992967404,-1.55694623088697,590.869724975249,1,1
88,37.199440615572755,0.0799181325854607,18.192687965617324,26.005167109655417,59.29252074929724,-51.94611339026426,1.226398458003296,3.5690036992967404,-0.430459327550506,437.256298659997,1,1
89,44.53551104796988,0.0709027296341707,26.59451947314484,42.40262434313718,79.85678985520292,-89.76282028027278,1.226398458003296,3.5690036992967404,-0.739170117125712,544.838417695889,1,1
90,42.989291265446255,0.0896199148799304,27.36587387539045,43.07657297628546,50.07685502316767,-71.27429902520362,1.226398458003296,3.5690036992967404,-1.16285904862931,462.921426405789,1,1
91,38.790477574867374,0.101192937490889,31.60500850061672,48.555875807782144,14.294533006736614,-66.50728215981867,1.226398458003296,3.5690036992967404,-2.76975579913964,347.025522385459,1,1
92,45.6321387055107,0.0853674228155097,29.157077223523004,50.52941370305797,63.4165295877684,-85.75752345581856,1.226398458003296,3.5690036992967404,-0.965382672882236,515.35253148755,1,1
93,3.773033892467376,0.0538030589708867,6.190008835074849,4.268886576827427,-9.78630681941108,-8.348933055075776,1.226398458003296,3.5690036992967404,-4.91771863331891,12.1123235248192,1,1
94,44.72018725585155,0.051787922217286,29.360827756495496,39.8245100270704,52.51717409935296,-76.28016991749733,1.226398458003296,3.5690036992967404,-1.56221117565617,482.790889271668,1,1
95,49.47361182350795,0.0651759097023102,40.65717970702815,60.84412493134806,33.43671012985453,-98.16023770773154,1.226398458003296,3.5690036992967404,-3.29910216436076,478.090917151349,1,1
96,34.45051949571286,0.0751193938340055,16.009703909150545,30.48979510523273,70.30337524325563,-59.46036065499908,1.226398458003296,3.5690036992967404,-0.0135481935220248,440.903608758415,1,1
97,45.40691821147615,0.0575498627782874,22.73641071591625,32.720488538837884,79.4102193652374,-71.30887405764705,1.226398458003296,3.5690036992967404,-0.521341570503757,550.292135275937,1,1
