comp_1,comp_2,comp_3,target
-312.95016351573184,-19.07532737201407,48.971037935723764,2
209.01285465203043,38.88239222552984,-91.71708695476742,1
42.44074249234449,-163.95455399399847,-251.53503425178653,1
-109.34866299400849,1178.8724890025771,16.668357874310935,2
-414.59920017419927,324.4193562526653,352.1932203264059,2
244.39715876795256,538.6346445768587,135.24690902424217,2
-295.83402376162076,311.41743310534093,160.40667032419324,2
-366.1340185418433,-454.8092755496913,-47.19338533970712,0
94.0580417545986,-262.5823630311781,-254.0601267604812,1
-226.10683269791502,-196.50755753053463,-102.22167932548867,0
47.789282747052674,-92.02447009344102,-120.27589710940659,1
-188.54938546867527,-98.22034672182839,-185.69970839706235,0
-319.5275033892872,-72.59222439498606,78.2800840463904,0
279.796833967309,27.87775203024515,-8.841295346626417,3
216.84226918796458,2.644878363052614,-6.314697231242576,1
-91.10297105715033,-170.77526114884964,-148.2073694473996,2
-196.87421177650808,-195.5907916915029,-152.71804553575802,0
253.4963305618816,223.8497592698631,335.4108948528462,1
466.3902179103334,218.91211026892432,118.88361061987132,3
-696.3087000398751,175.3704495225398,553.56166414754,0
-156.08115151699502,-86.73575644214695,-70.10030125365736,2
195.54201735869992,106.74602708916223,106.49805659164385,1
592.5733150363196,31.324915073893063,307.7347081239363,3
-71.2396598271152,-100.12766330407065,-121.93239498446586,2
457.65476766547,74.20740945870259,-22.755838837526376,3
-520.8096899649637,-36.712649231462926,201.00913141407588,0
-566.9415649500421,-537.2710645736412,162.8171162694622,2
382.080674297015,-794.9479966617727,-410.7737105586425,1
-277.71284907514826,-87.81887278768664,-0.207046852531585,2
-489.7284879001487,-548.1076744099765,7.064758318048206,0
-178.7686957276394,-159.4010850469324,-76.38071632293537,0
-171.91890310552108,-186.18755639459275,-146.68349585369018,0
-642.4133101154378,-534.7936047390011,203.5996358008955,0
-244.33738337236224,-186.14863126931013,-90.44197828570216,0
114.76107268307622,-296.29779969752815,-287.90290735614894,0
75.92846902006808,-102.25716408656429,-77.68017679176386,1
194.02629331867928,-154.73225400405732,-228.8294082553404,1
-150.71204047427628,-72.9962075515509,-67.8466500270968,2
-363.4818348092432,-17.83753296738745,148.0825903002612,2
159.08179623197952,47.174866012561964,-118.95631205001172,3
656.4163799072289,135.22100720997423,-36.49099695303932,1
-555.7056711026222,-38.949231650157465,217.62303224353704,0
35.338400140153404,-127.66569852088989,-222.92787451223026,2
-532.6184017251828,-10.845194436555344,276.4525687204266,0
459.24973032628003,-267.2880500667347,-231.2820326531964,3
-222.71804703643335,-6.254673686362223,106.2038614834637,2
-5.883211336865423,-27.424018150394414,-219.00149994940037,3
-168.11738084503378,-137.0269618173597,-125.74373643797423,0
294.69527180274093,-561.6979100382501,-95.31534743733614,1
143.8679668703788,-6.221052134321168,-106.21532686653941,3
86.44741553906883,120.37051311032239,151.37954921820133,1
414.03227317426354,-9.397445813696942,-56.069129443534294,3
-131.84193042100986,-145.73763142376754,-105.69599844194033,2
-395.56706856824644,-106.96934297719032,35.5030122598681,0
336.28700757480016,50.13629911653555,37.58579869937249,1
-192.72058217625897,261.583245477773,12.793334602540513,2
447.79549075082923,-216.28993161268434,-251.47300665653597,1
463.7294899696441,-82.23532351396868,-229.51537447208457,3
524.3845018022329,-57.07787110696122,-250.90471518423763,3
459.34147774874947,254.6905594788466,97.40466767062435,2
349.51430236352815,47.22762171970838,5.753245265546795,3
-218.89457651402986,-241.98675193343865,-144.88967684569704,0
133.55483220318484,28.79904974869699,38.86182762051387,0
-379.80660376378427,-118.74338152996503,68.72275980663898,0
472.53523391012584,89.73199447740555,-91.62554736647463,3
-188.27231993650935,-151.51328632936878,-115.8014084370963,2
-91.42012870147984,875.5527035081213,-270.02103939885023,2
-583.4101229614469,-172.06064082539086,271.5428247316348,0
196.89305197608675,79.79167415877431,-4.501155212586601,1
489.395143438048,-40.81807329858764,-105.75013244760187,1
29.092336208454764,-639.2827188188055,-112.37491508720534,1
-326.95619296782024,24.395197152310395,120.58708414631315,2
-173.10243018479287,-195.47502762000397,-153.90652599534445,0
-112.38039703034227,-15.344527914941386,-6.202625747334064,0
491.3402104322271,161.19212300217214,131.009070444018,3
245.18888766371515,218.69272631400992,-136.40648542223667,3
-355.9375538549977,-78.57104602156882,21.112191261707387,2
37.140102477412654,-55.32837533981652,-56.141457045620754,3
-322.4259237003119,-66.18477592872961,-45.25511091824385,0
56.5960837598556,44.95604200271998,36.03678993635822,3
62.28324648385615,342.2200387980516,-232.71717444035443,2
-251.55545215263223,179.3260458045486,64.58603159285153,2
-283.4220545163236,-101.97825238251093,31.656230929924465,0
-291.41342455917624,-55.60930284312073,-18.3709738458489,0
-110.0013271317923,-63.86452649065242,-45.287058308606234,2
-561.5005765496468,35.056010210774154,338.5827708646551,0
-547.0272449207574,-170.4354104166764,95.33168912100392,0
711.3618165887962,74.81217806634785,-43.17267365889066,3
6.741466307040968,-55.654503149705306,-47.8471270720768,3
216.9436584329215,16.577094288517735,25.6724956590253,3
-467.3834834026525,57.08816640218933,241.3239971038856,2
56.590171739328824,84.72706473692473,-19.607017220545718,3
-255.61400343786767,-168.13978783527165,-65.77960751439541,0
105.86011308617363,-94.92291819630621,-146.72132084350238,3
-73.91156117255754,84.37878041671293,-230.36801807062517,2
423.3947015250537,94.83534176959193,-51.621280586502,3
-239.71793502180546,-58.33057268701803,33.402301313117476,2
-125.91408946018954,-40.552103465884564,-20.56338856546267,2
-326.7986312804134,-55.07655525447641,2.1056057526273753,2
110.8864440599966,-56.794023219486355,-86.86873528160406,1
532.6599932783796,235.5893599439192,87.75052031990396,3
94.17396191218039,-48.20426634610367,-250.62407197378676,3
368.14629253557695,57.930827840499134,75.92716893186808,1
120.49959361843689,-65.41140030676642,-96.86320030009549,1
243.64525617925548,-77.33929405611038,-262.92112594525685,3
468.3512389752356,330.42913272588237,-2.2891461814838983,1
2701.764396519157,1566.8207541692448,1269.0096146583144,3
-741.0211314087932,201.04558491622583,626.5187448640213,0
-9.268341033738922,162.5237053725434,201.92102770368155,1
220.4497061739135,247.97915639023182,212.72307858164703,3
316.43196455043625,-358.36973837034293,-22.335274245151382,1
-275.7046221055527,-223.45211586475025,-124.37782988038894,0
608.2678503444015,150.8085452489631,101.14895114706204,3
263.3918607331317,-78.917445109609,-172.42097629199924,1
-397.50548502545314,-146.83780843280547,42.55394798164564,0
43.41397385591159,-204.88614048865105,-250.82202733766778,0
-462.86503105451754,-159.18195759373364,38.437219799533615,0
-544.0266970942755,2.0491891205678607,262.3129258836909,0
192.47202117895196,55.076193607514284,-52.73699193205428,3
249.92087547653958,106.14824347340372,150.39331405828224,1
278.5210753108677,-184.50216777724464,-283.96259357779445,1
-156.84179763997,-97.54891066159391,-36.91656213078086,2
87.24823075713512,9.246027846863385,-21.053258982579322,3
683.104009504695,230.17567196431327,71.9154018716766,3
240.44356761818727,-188.64037621375257,-289.30110069619366,1
-22.636889691118906,163.78992363665648,-19.00192554009951,3
77.30180600625361,-259.4249404164028,-180.40561274013734,1
345.8519690656618,-11.203774535493732,-97.84792128349638,2
-169.31767524466326,-112.89104145418543,-104.04597542560869,2
352.4533026361435,-123.23915403182205,-231.7954801274349,3
313.43283655031115,236.8806367121733,-51.161317782165504,3
282.192340667495,25.026117850698867,-198.90644488749032,3
176.61511386717166,188.5105072673546,69.5227083985494,3
586.3950228112382,-54.34525510740471,-132.3961520020925,3
11.95900477780891,-50.504009966946285,-151.12019487010573,0
-528.6842640446472,-31.12537134495255,122.74968327340903,2
351.1847759788773,0.9368332207274593,48.1971430734005,1
-4.105496088454696,-231.22758564925223,-182.95351168611668,1
-380.5237161814822,-108.63149120566477,69.92766090904004,0
358.97403029735136,-28.811923192003015,-120.71772582505496,3
-3.9031079389494137,-233.74357716127136,136.39210028517516,1
-296.75716866605336,-7.2328873999926095,112.06677426504301,2
370.8517611298866,-23.84593505762184,-338.6541429073036,3
291.82514141788096,115.20658601844924,165.28892119515643,1
180.3824068187663,80.3055216859572,65.61660184292609,1
156.73058312229526,-20.112951628819598,-89.14141644360997,3
-221.51285327270492,-75.88308399513855,199.90516500130346,1
-512.2766031874397,-143.29276331424083,83.14034370270214,0
-409.9327503716743,-56.030483007729416,81.49585042101693,2
-384.6314586813251,-55.59173328241558,95.9386218324998,2
-297.4456765852681,-104.3203640094353,79.71359296776554,1
-427.23854219166293,-232.42981805472252,19.71114993441963,0
285.0956938732075,-161.42033039827936,-243.2531302623346,3
551.1888312186506,291.10575362359714,54.14592136780739,3
-585.0656383961469,-234.8750487747209,195.8959032500212,0
-648.5077859618577,-216.43778839774757,326.3278030950849,0
108.05994935089784,-142.03025965612,-190.2900960743777,1
134.54169183365877,-65.74881437888311,-115.37939503012986,3
-463.7269653014114,110.87297924642168,368.0052377347458,0
469.5914892597236,-9.89381430928552,-129.21469012826714,3
-338.80970473659175,-75.84080914465909,17.222152226056682,2
-364.1623101378855,-252.19475724069187,-58.03433439323306,0
-492.06360785945424,-17.281640545972017,153.19454346832143,2
-226.6982795924981,-100.10081583206683,0.5048326239710805,0
43.776787017404786,-12.065332091266995,-35.05925883466879,1
91.29834928540586,-81.72957076812308,-310.1329478308417,2
-90.08428015901332,77.66086522267773,-59.931581783750346,2
-536.7537066277694,-292.54220754208905,73.98509854231615,0
427.0069007405994,19.723095863866842,-23.806258002256055,3
-322.49808060570024,-32.34472574687892,105.24464097691035,2
-438.49880562724275,-277.6101512115305,22.652657714053692,0
70.02991893196055,125.28990197004329,15.139554012310814,3
503.1639817779986,-51.236110838490696,-107.48422031106426,3
-310.7643986398304,68.70695278273033,368.3579077956251,1
112.2854107584426,-154.94100521199323,89.01399409857335,3
-471.6381073937078,-28.9623578783343,209.98824752916255,0
