| i  | V                                        | fitness              | AH3                  | AF3                 | AF5                 | A3N3                | s                 | tau                | lambda1              | lambda2             |
| 66 | 0.00000333350220570390914483975379479    | 4.41092882670803e-12 | 1.2661958783401843   | -69.986084153234    | 30.502269374962907  | -36.126954522067976 | 96.48837428670647 | 32.35548109203014  | -4.63681397112357e-8 | 4.63670410644628e-8 |
| 67 | 0.0000790372554032957032018116838579     | 4.80535009989771e-10 | 15.514799886173918   | -50.63646099437602  | -11.838186064927655 | -91.32311449004968  | 94.04156849962304 | 10.4436879856306   | -6.22070638669053e-7 | 6.22279195987726e-7 |
| 68 | 0.0000131130204282673062872758770747     | 8.04529642519041e-11 | 7.228816201364424    | -24.557124685837664 | 30.392860938458654  | -91.36180638321383  | 99.10401286222653 | 14.594567650088319 | -2.28954001535477e-7 | 2.29000520323649e-7 |
| 69 | 0.00000248920040554489789837275433293    | 3.88158443053026e-11 | 0.6831104245754318   | -36.23386855739612  | -24.918603821587055 | -17.34043228665911  | 94.7067005908225  | 30.598548486471255 | -2.70470399960627e-8 | 2.71232132424161e-8 |
| 70 | 0.0000213867083747222614276573687819     | 2.49613185095372e-10 | 5.5023679977552575   | -87.03011306241544  | 57.749897474139345  | -86.2552832768998   | 91.8691858264758  | 19.391185061196182 | -2.43267653658062e-7 | 2.43656272468844e-7 |
| 71 | 0.00000878518146826772454308432380721    | 7.89351458771892e-11 | 4.863303176785365    | -38.56589240266961  | -98.98685159823432  | -88.00052092553288  | 96.4423687960591  | 20.316574740965997 | -1.72148192500573e-7 | 1.72244739403114e-7 |
| 72 | 0.0000280030035790266719855114152526     | 5.92691493983391e-11 | 1.269734827402786    | -41.5617740076583   | -45.655855124173605 | 13.002307385857861  | 98.5899578563283  | 13.655885009480029 | -5.83420500973475e-8 | 5.84542872063713e-8 |
| 73 | 0.0000116585038097424692764454701166     | 6.43175447746364e-12 | -2.1614112254088553  | -99.60723490600947  | -18.566022512292577 | 68.37699533872413   | 99.18905018689476 | 24.395965900096183 | -6.33794096089865e-8 | 6.33836604561921e-8 |
| 74 | 0.000000542535852689801848472851263788   | 8.95975608713602e-11 | 0.9884611324800545   | 1.4976679408432716  | -99.61774368686036  | -13.92304556754766  | 86.02160429947895 | 15.508829423159687 | -5.37409609937100e-8 | 5.39153822339457e-8 |
| 75 | 0.0000319025016563196075407120300138     | 2.45811430740444e-10 | 12.364259710116826   | -18.276841207786347 | -1.9177404813811592 | -97.2990080855574   | 92.97244561092583 | 10.091102918058237 | -5.05593754300950e-7 | 5.05594978643470e-7 |
