idx,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,AD5,AD5_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
10,18.5302398018832149611493375294,-0.000117130000000000000000000000000,0.108379369350616,21.070357632265015,0.268442466227236679300000000000,94.47821465042688,-0.0397849749059725573000000000000,20.978771463099207,1.63592151122898482000000000000,-37.74162863474757,-1.78776421956490615900000000000,-38.18860089971785,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.0477334905583342,0.00123830000000000000000000000000,76.0083661491996,0.00602760000000000000000000000000,1,0
11,18.2697203228269217157898770687,-0.000117130000000000000000000000000,0.170621421884489,20.406236572076565,0.268442466227236679300000000000,99.67573220658585,-0.0397849749059725573000000000000,-28.222959942585305,1.63592151122898482000000000000,-7.236746688350266,-1.78776421956490615900000000000,-46.213975459141565,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.467429285041083,0.00123830000000000000000000000000,47.2018604487952,0.00602760000000000000000000000000,1,0
12,13.0582291922992614806404022301,-0.000117130000000000000000000000000,0.112029498879794,10.488455219878176,0.268442466227236679300000000000,81.03096963644606,-0.0397849749059725573000000000000,43.79863874566129,1.63592151122898482000000000000,-33.67719098202464,-1.78776421956490615900000000000,-29.67370599117396,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.505786421904995,0.00123830000000000000000000000000,65.4285841313736,0.00602760000000000000000000000000,0,0
13,18.2973265635211449739467606637,-0.000117130000000000000000000000000,0.134876515662911,30.698487476633204,0.268442466227236679300000000000,96.52065243355835,-0.0397849749059725573000000000000,52.96965858688131,1.63592151122898482000000000000,-92.83705261699743,-1.78776421956490615900000000000,-22.934408081677276,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.410260995992360,0.00123830000000000000000000000000,99.3246274562743,0.00602760000000000000000000000000,1,0
14,-13.9364929586436336399462233040,-0.000117130000000000000000000000000,0.0875172240672701,5.551093575032226,0.268442466227236679300000000000,-58.214629078316136,-0.0397849749059725573000000000000,-16.4672334009268,1.63592151122898482000000000000,-49.4594468233832,-1.78776421956490615900000000000,75.51382723074019,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-30.6116079543860,0.00123830000000000000000000000000,0.221648144407552,0.00602760000000000000000000000000,1,0
15,-7.52442384409427058882852622642,-0.000117130000000000000000000000000,0.139276900118077,4.677883808579082,0.268442466227236679300000000000,-8.247130920839325,-0.0397849749059725573000000000000,-68.9339046679293,1.63592151122898482000000000000,-1.68984646653891,-1.78776421956490615900000000000,27.90209763059717,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-52.3866220080490,0.00123830000000000000000000000000,0.227936862459502,0.00602760000000000000000000000000,1,0
16,-3.56320364915701816996246827027,-0.000117130000000000000000000000000,0.0418209874307964,3.0468341832643517,0.268442466227236679300000000000,-28.543853164157085,-0.0397849749059725573000000000000,15.069419941362668,1.63592151122898482000000000000,-26.449119812449666,-1.78776421956490615900000000000,32.00536477927386,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.190231269329768,0.00123830000000000000000000000000,8.75651057230307,0.00602760000000000000000000000000,1,0
17,-7.37357316386499880814158141772,-0.000117130000000000000000000000000,0.129378353585092,3.9313188158762102,0.268442466227236679300000000000,-35.51225939956527,-0.0397849749059725573000000000000,6.835756292075132,1.63592151122898482000000000000,-37.99942158221933,-1.78776421956490615900000000000,49.86637156864185,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-3.57187839265762,0.00123830000000000000000000000000,0.551767718651477,0.00602760000000000000000000000000,1,0
18,-5.11864851577541803632703268750,-0.000117130000000000000000000000000,0.0850985731958675,1.4240338970830777,0.268442466227236679300000000000,-32.039901803985444,-0.0397849749059725573000000000000,76.76705854504772,1.63592151122898482000000000000,-64.71958566955237,-1.78776421956490615900000000000,44.119963443263345,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.0797476310597090,0.00123830000000000000000000000000,37.5293404645642,0.00602760000000000000000000000000,0,0
19,-2.30292452642775585986255314321,-0.000117130000000000000000000000000,0.110674060191194,-3.471874423104964,0.268442466227236679300000000000,-17.502871054794284,-0.0397849749059725573000000000000,62.824039624382834,1.63592151122898482000000000000,-31.573104346299004,-1.78776421956490615900000000000,21.514852586431886,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.0771390486149053,0.00123830000000000000000000000000,31.4002393021052,0.00602760000000000000000000000000,1,0
20,4.69792240785164537738344602245,-0.000117130000000000000000000000000,0.176120975218255,10.908089431243567,0.268442466227236679300000000000,6.846875931974509,-0.0397849749059725573000000000000,95.72159458460001,1.63592151122898482000000000000,-80.56110154708831,-1.78776421956490615900000000000,28.747162696625224,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.211473387713562,0.00123830000000000000000000000000,84.0413728727652,0.00602760000000000000000000000000,0,0
21,14.4516671820587033346351650882,-0.000117130000000000000000000000000,0.153633410376767,16.71605675217063,0.268442466227236679300000000000,91.56854821577312,-0.0397849749059725573000000000000,9.949433405628398,1.63592151122898482000000000000,-31.546056941457024,-1.78776421956490615900000000000,-38.549618259568504,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.0360961639349979,0.00123830000000000000000000000000,51.3123197389855,0.00602760000000000000000000000000,0,0
