,V,fitness,AH3,AF3,AF5,A3N3,s,tau,lambda1,lambda2,taquiónico
18,-5.18792778020821998552492004819,1032.39137366816,38.98250472373434,13.840156652537445,39.70768179023821,-92.56922512205173,0.9695049344995498,0.6825813585747851,91.1049981354404,320.702844837646,0
19,-8.37889203644624558364739641547,1270.03459278216,25.65499567077518,15.968875211230852,46.49406061936611,-97.25146755516214,0.9475593692582359,0.9335373205737963,44.0611449073896,403.961244752336,0
20,1.11535396863103208886514039477,184.085383360619,7.770489173925938,2.2118994641189005,8.552872032875896,-16.23329168206878,0.9725896738836919,0.6545740819450371,16.1745068581713,95.9590652745954,0
21,-14.7873617661456719929446990136,171.506069594476,36.20168827684179,13.12391109763145,29.94075131825059,-87.85223630078053,0.8758033052265277,0.5560578290381883,215.221405365621,311.467766794357,0
22,-1.66287344200900122359598753974,201.846310178404,68.13655339724926,26.750984727099976,6.645617981372169,-94.20171260827215,0.9126407668901261,0.6783629571453224,56.9441922040758,236.573897671161,0
23,-4.60831995542382877317777456483,278.838156386423,1.778868048563595,10.771616647820139,15.799380810247214,-33.799999135635346,0.9131020443128159,0.9539352411625178,18.4623922194346,165.888945755620,0
24,30.0007872950439065107275382616,4925.81013582418,44.2011147510548,31.0141676526801,-20.262724553505464,-24.458982044710524,0.9959453203053221,0.928300071711354,73.4124253429588,201.923074662105,0
25,28.2815650725826088773828814737,6924.37390434371,49.82980776370519,23.5384378759141,-10.847711669814103,-40.26976553418257,0.8826007724719066,0.9453108600745612,22.3555468957003,310.782760116203,0
26,14.1689474482151780421190778725,1969.97462671631,33.695295729794424,16.285946417723125,-3.936397362262838,-33.43326065239313,0.9377029433538263,0.9600998892308482,15.2835725814827,176.400300196737,0
27,1.46582468634738205537360045128,92.7923618107296,26.332108685609484,13.705673500963385,4.007675243508089,-40.87643755793036,0.961713645353529,0.6993807524247514,58.4343762764841,91.1924111420340,0
28,13.6863222523625900350907613756,1850.32121030651,75.80219678129419,8.153134333065609,-14.607845305725348,-23.447078918075135,0.9504473562025715,0.39434792516928874,-0.523286296519927,333.495405085520,1
29,-6.55012118316851932320332707604,2996.70665757067,-2.706543198436833,22.337012306191426,56.70928560967903,-85.9572598975891,0.9731397886887285,0.9249382237165997,38.7332522964545,473.714712252729,0
30,-25.9828637477750632456263701897,352.837880664915,7.234725478946189,0.5403616474498989,59.62359327087003,-91.03643375250985,0.990741618531187,0.6590268446371926,1.99902735169300,188.600487229006,0
31,-4.99184308132434040317093604244,575.111376839033,24.00038825353461,7.004308566219052,22.99128893375348,-58.547322658240965,0.9470839062399768,0.9411876973812718,0.574766220865087,207.293450074585,0
32,-9.37273366137844377021792752203,47.5711774730665,7.358197222470224,1.5272418413189541,28.36594157451256,-44.690448629801,0.9961268326155588,0.347869370988229,68.3273380080693,124.005179802701,0
33,0.206591418288518013923749094829,601.405770804571,14.175898388122306,4.482414656758564,18.56870466868952,-36.50842769013336,0.96561148912391,0.867474997343113,10.6630971425878,190.504535830769,0
34,3.51106971953326052471311413683,2485.98340071020,73.05089459608612,9.604024391616917,6.977424326462554,-58.77116788195199,0.9261316377912818,0.29718502275066705,111.424893416608,947.421890917649,0
35,-8.03989487855118056813807925209,247.245201686764,60.26302206221223,21.062244397693064,16.65794352303756,-96.34487395190068,0.9789517100226944,0.6679952748599525,34.9940574042004,166.376743208632,0
36,4.92244319318446699185187753756,420.755149884172,33.010164281732614,3.5125758441799633,1.430005402000262,-18.667310881371407,0.9999714082673222,0.41468484334113465,44.2494661834437,124.788427480801,0
37,6.05261986696267584306951903272,1046.31743177476,0.128901849872733,3.4051694307720197,5.700372679080061,-7.832814506916961,0.909767880797219,0.562639405172381,34.5675073617403,184.393502329394,0
38,9.24790092091945936658703431021,4799.71140207616,14.301114783125016,0.792917214901891,40.24650496274873,-38.13059821650941,0.9950959107009796,0.20529957758869266,185.256652176655,444.419323612602,0
39,18.0858983452774140232577337883,1959.18062601684,66.09248652839466,40.41689893455248,-14.007844030195258,-72.84308198682508,0.9790979804967773,0.692912876779853,79.7297588670846,278.329484333766,0
40,-17.8396816704894760619026783388,24430.2595143796,31.600491306226672,-4.962779678739949,-20.390745471804323,-2.9086839297966662,0.9201674202975854,0.6106406075187008,-587.952827690835,10.4360575536398,1
41,-10.3057456338640864856870393851,2643.48971011925,18.823694617341317,4.759649581060216,63.872535499170766,-96.07261582654465,0.9497915254860503,0.7019101068140877,29.9704317770219,561.107830951960,0
42,2.06273952645978653208658215590,831.584891882888,41.32713195421718,39.330239204002794,12.326541139722423,-92.89869384938694,0.9384921920771941,0.844764515788836,111.333314170894,218.952052688086,0
43,-5.55489763061697061630184180103,2191.83436564775,16.46581948485371,21.580451852607396,37.048850601857396,-85.23509760701349,0.9145881014124834,0.7817922331138358,98.2024474231962,446.597882396834,0
44,18.8864028565226362843532115221,1480.96230206073,75.61518123804618,7.005056429650949,-18.447195514343065,-8.856403073193192,0.9965195028673445,0.2939396442373643,76.9509442240661,558.029359732051,0
45,-8.40829961287898797195339284372,122.059959113316,20.713074097254164,3.8787732299723245,20.16064340163382,-47.046748067813716,0.9504574682065281,0.5705042026631857,34.2937869245244,121.446482767563,0
46,-14.5125115046557056075471336953,918.417538414418,46.23478153715419,4.074368724475789,48.19627100534882,-92.23861996810295,0.9605640427150663,0.4235054955011084,88.8367755771376,334.307802471779,0
47,-1.18256366972726567610152415000,264.609036707003,54.7457011323371,12.365933225399743,10.116278366292804,-64.18519302902003,0.9068362716801907,0.44535480182209597,123.751213376396,379.967180778937,0
48,-2.96353866598420800926305673784,9728.41466711393,-27.958611685791197,2.718921131852838,76.15065305198442,-73.89158559707138,0.9524579310660173,0.502044628706977,23.2607568029666,803.270430286678,0
49,-18.0121344213197573935758555308,265.044948731980,27.297587869427772,6.628822179849664,50.778671394258566,-97.46760806067122,0.9781272598965984,0.7085766995146466,29.5802010720294,248.194010062894,0
50,12.0916345781721155105969955912,7107.06705596951,15.879125173221482,44.0275966209461,8.499708906848127,-65.34410084995633,0.8671203513545921,0.8944685934388874,47.4444284356099,494.217357188701,0
51,-27.0888567248142919652309501544,3848.69034616683,-19.057631503613976,-31.844322832668624,27.140318229986775,-0.9321868301990008,0.9936470630261428,0.8799974355506476,-167.486511766974,-31.4261474385635,1
52,-12.0627322187823615706747659715,168.700736683516,14.398640831629578,12.58095687585292,17.328346045457238,-55.07574308056109,0.908363870367101,0.8852675966435335,46.2677106089628,73.4567492810436,0
