0.010707,"s -> 2.0214205979719012114`5.","τ -> 3.0677528003654388216`5.","AF3 -> -0.3331444281912842102`5.","AH3 -> 0.1975931327357556288`5.","AO3 -> -0.6907494720695261313`5.","AF5 -> -1.1141436811163975251`5.","AD5 -> 0.9160120435470243121`5.",-0.010703,0.0045447
0.0054069,"s -> 2.4578938558003997655`5.","τ -> 3.4873681643987795482`5.","AF3 -> 0.0976881054165812722`5.","AH3 -> 0.1929995105993458882`5.","AO3 -> -0.9007256829914008647`5.","AF5 -> -0.883448143649661855`5.","AD5 -> 0.7297599609662204541`5.",-0.0041223,0.0029059
-0.000012882,"s -> 1.9316863821678011597`5.","τ -> 3.0101820378029221097`5.","AF3 -> 0.0304164159119228628`5.","AH3 -> 0.133719860612003592`5.","AO3 -> -1.0031327059755984858`5.","AF5 -> 0.7333191251959807387`5.","AD5 -> 0.3886144494716181868`5.",0.0012659,0.0041076
-0.00016344,"s -> 1.6678666942165531836`5.","τ -> 5.5311670550400166124`5.","AF3 -> -0.3221632839792063221`5.","AH3 -> -0.1141214965700210288`5.","AO3 -> 0.2644141403657087344`5.","AF5 -> 0.4745123766054211066`5.","AD5 -> 0.003096468075925529`5.",-0.00081169,0.000064923
-1.54e-6,"s -> 3.5650423254874413023`5.","τ -> 4.2371870223816044468`5.","AF3 -> 1.0052136313683061222`5.","AH3 -> 0.120670540829801433`5.","AO3 -> -1.1573229341274333302`5.","AF5 -> 0.6295741068180681564`5.","AD5 -> 0.2719344611720337`5.",0.00015748,0.00081957
0.0025604,"s -> 4.3159399918984434808`5.","τ -> 2.5855106271620984847`5.","AF3 -> -0.3282140761376765436`5.","AH3 -> 0.0288824407323462456`5.","AO3 -> -0.4736992157821073633`5.","AF5 -> 0.1756626284468750797`5.","AD5 -> 0.518615947475004636`5.",-0.0020964,0.00056847
-0.00051182,"s -> 2.3602538980831110082`5.","τ -> 5.6340174151878909373`5.","AF3 -> 0.8461558039777982663`5.","AH3 -> 0.0477053255432475754`5.","AO3 -> -0.0995099595849687914`5.","AF5 -> 0.1616406439891823198`5.","AD5 -> -0.3183231575422571022`5.",0.00011701,0.00036095
0.0042293,"s -> 1.0400317752440658512`5.","τ -> 2.5682498578706692616`5.","AF3 -> 0.2184088206842282676`5.","AH3 -> 0.3346407324096269977`5.","AO3 -> -0.6855700518502303694`5.","AF5 -> -0.1974866476380215901`5.","AD5 -> 0.175680541761019763`5.",-0.0058993,0.03428
-0.00029567,"s -> 1.035225315724579558`5.","τ -> 4.4577821496844202002`5.","AF3 -> -0.1061498023204249946`5.","AH3 -> -0.066860467221116988`5.","AO3 -> -0.032981030213559797`5.","AF5 -> 0.4988174979013231147`5.","AD5 -> 0.032116041511104778`5.",-0.0016346,0.00020784
0.00043068,"s -> 2.3010583370731407297`5.","τ -> 3.4789370847209802353`5.","AF3 -> 0.5339017083921983756`5.","AH3 -> 0.0861334671315191291`5.","AO3 -> -0.2562069914769773696`5.","AF5 -> -0.3069424982402585429`5.","AD5 -> -0.0550205285727341646`5.",-0.00052764,0.0018549
-0.00039223,"s -> 2.6875400736373881736`5.","τ -> 7.5053848070078759403`5.","AF3 -> -1.4570149263693209428`5.","AH3 -> -0.3346558031339763732`5.","AO3 -> 1.8500188312411763728`5.","AF5 -> 1.0523985854395263843`5.","AD5 -> -0.4275728245109244603`5.",-0.0005313,0.000061794
-0.00027221,"s -> 1.4256683997023071947`5.","τ -> 6.1063824138390708221`5.","AF3 -> -0.186349037112489624`5.","AH3 -> -0.0901739790407303194`5.","AO3 -> 0.0048870167175943793`5.","AF5 -> 1.148587023083826418`5.","AD5 -> 0.0020794067722312248`5.",-0.0005579,0.000087984
0.030875,"s -> 0.857578455874895818`5.","τ -> 2.0582813723998910723`5.","AF3 -> 0.1796610366221350193`5.","AH3 -> 0.5157832350564849872`5.","AO3 -> -0.2733759674316951903`5.","AF5 -> -1.1832404396009498493`5.","AD5 -> 0.3005709409700113749`5.",-0.07829,0.12008
0.0051366,"s -> 1.9454770056991227499`5.","τ -> 3.5389961297301333076`5.","AF3 -> 1.3312609783183352615`5.","AH3 -> 0.4727159907402036795`5.","AO3 -> -1.3993541688371657899`5.","AF5 -> -1.5842598965532799576`5.","AD5 -> 0.3490274459555648257`5.",-0.0042958,0.010273
0.0020988,"s -> 1.8245104092038356926`5.","τ -> 3.4333385372646401391`5.","AF3 -> 0.2775320798144725501`5.","AH3 -> 0.2950019496961440364`5.","AO3 -> -1.5089430816200934184`5.","AF5 -> 0.4507823983490884955`5.","AD5 -> 0.5629479193184249521`5.",-0.00099929,0.0066339
-0.00010135,"s -> 2.0297019070506707771`5.","τ -> 4.7710483921176479713`5.","AF3 -> -0.0683431541120990773`5.","AH3 -> 0.0573433531424893395`5.","AO3 -> -0.5769302771793437906`5.","AF5 -> 0.8734936542843094576`5.","AD5 -> 0.1957529488395923447`5.",0.00012237,0.00037469
0.00035085,"s -> 2.1859970953068930414`5.","τ -> 5.3601171890697930842`5.","AF3 -> 0.7361847672207267273`5.","AH3 -> 0.0396628575868171903`5.","AO3 -> 0.5428614869312194667`5.","AF5 -> -2.2092548752849673456`5.","AD5 -> -0.3193959465579044623`5.",-0.00023877,0.00041299
-0.0011226,"s -> 0.1936483754161056026`5.","τ -> 5.2967772675624813926`5.","AF3 -> 0.0987425119871715625`5.","AH3 -> 0.0534272916974912894`5.","AO3 -> 0.3111048218708449095`5.","AF5 -> 0.0049380761315576084`5.","AD5 -> -0.1910375884111096665`5.",0.00024484,0.048591
