comp_1,comp_2,target
2954.044419061407,627.152062655164,3
1307.9671021731026,277.5156049643249,3
-349.1419955673139,-434.6417405466416,1
-1930.3958377948834,-2036.219658093003,0
-1466.0441356417543,-1200.0895338429914,1
145.21414110132216,-115.98399492454887,2
-2050.658792281858,-746.0493939326341,2
-1180.1570692621551,405.9042917505997,2
1147.7660715123818,1484.6577692083154,3
260.9162219822226,-275.86794053810826,1
-1572.706903495757,-611.8969791707194,0
539.0052680732105,781.3472823694653,3
553.6696873208069,-258.38792115888,3
164.42137517856509,180.3501317395107,1
2127.1621297374177,684.014960949843,3
-525.4901764515843,1673.5882310475222,2
-2252.077429347364,-995.3705933335682,0
148.45604022612577,-597.2491514679007,1
-1152.9246527043617,-1063.3831426473291,0
-2195.3426864114876,-1247.2804322952627,0
1747.8409494864354,541.8894538847317,3
-1030.3867621955299,-725.3056813967772,0
1008.567495868596,375.64277945512214,3
-1230.550913855818,-586.4002026332377,2
-251.52475012013315,1518.0157646831592,3
-1722.813714395558,-3039.9075316902386,0
-707.9070585303085,-1302.1602650229613,1
-353.40825265687965,-2458.3627286861065,1
-359.45109675133864,-160.65888377462474,2
-136.559922826069,-248.70084265634705,0
67.09117460451964,142.83092256542207,2
-1944.8410776733735,-523.7454005113462,2
-209.90631404772617,-52.517184723887524,0
-2062.0251053179472,-1980.5729376850722,0
-1173.0223089234407,-697.0232426649693,1
-1960.0882713572553,-389.2205466005234,2
1280.8832139586764,155.10326385944126,3
-1445.282180802447,-813.4748369633082,0
1172.5337547250776,409.7107360222042,1
-1750.8712187250674,-632.7528058524716,0
-1128.153581513624,212.1032191447019,2
138.02369595700037,-176.4908292966642,2
2551.1702336560074,799.7082803680122,3
-1682.8984462617748,-590.9420831332011,0
-27.556906366725357,-182.0884172119573,3
-1926.0378410342328,-1640.058523634187,0
-1741.0296057442638,-934.1378616803854,0
-866.8086685019588,-223.21092862850975,2
536.1621440315995,980.5104253296447,3
2337.2784226610015,311.2793955787525,3
-1663.5283450304262,-1053.3037322926752,0
-247.1540852164895,-670.6868876969542,1
523.5220012786099,-7.256338255331726,1
1379.1080317725348,516.3492932623532,3
1697.868985880308,568.2051498409296,3
1787.716519652912,772.4135810192329,1
-817.8251718180479,-500.04959670286615,0
390.24800202675664,-64.75601387200841,3
424.44036888531633,105.412682411318,1
191.91469943162755,-265.6590649713513,1
-1358.9790777261715,-1178.929525027234,0
1754.9773052184103,-3218.2080085733974,1
-1153.376283993081,-1502.2670317275113,0
-1684.4880374735762,-470.6751546218676,2
-1947.4706214186238,-1246.7884881053367,0
-1435.3272971156846,-256.5183981229996,2
76.80163182358893,2513.8774927809377,2
-876.1834116086078,-857.7677811058827,1
-58.08749545711617,-106.11302176385908,1
-1068.4344769340687,-701.8153996711958,2
-342.8419125818224,-320.7533548997054,0
-1553.7186356798854,-567.5638975886897,0
-1656.7112586087137,-466.08108438718904,2
-786.7122733932932,-358.0192189432302,0
608.5579539562239,296.42484231072865,3
-2046.591453575412,-1622.3029492675414,1
2064.4397473556824,675.4483568385976,3
-1265.5399631309908,-553.5813375168733,0
-770.7599297173723,-223.5751836036323,0
-1627.4837595291426,-348.51709780166476,2
400.82141879050306,-65.73191549363632,0
2794.577872142813,1378.5116594299607,3
-660.9039752998337,-3544.1911789612204,1
-118.55302180543558,-738.6367795729489,1
256.3308769044383,685.1356148347869,3
-944.4426254304369,-491.41739350355857,2
-1212.6154750072324,-1371.1829655809042,0
266.2360177757923,167.43390364846965,3
-2746.4620267594246,-1761.9832334397643,0
897.9413123586705,137.744287020493,3
109.23990429045078,599.6031521791643,2
2047.5964194581006,714.3852797285203,3
-2144.497069729719,-1686.044117323771,0
-1573.020212510043,-1262.4109513745177,0
1377.8476074364498,410.1411302964063,1
963.6822099420494,366.4629903884711,3
1184.7431106841566,828.6814223018745,3
-1869.40908677747,-509.8372061866092,2
-2021.3860310818286,-588.0710157356543,0
-1561.878869361279,-570.5755660734411,2
408.5466804580133,-62.047881370017684,1
1247.4119833405105,204.96178104140654,3
514.9000020798067,212.25139521783106,3
-444.4829359763248,-1449.1167262234478,1
-894.3812198543841,-580.7254328292062,2
-299.4386441326951,-150.76839934573493,2
1169.422368382328,-1643.6363971286419,1
-534.5840570361325,-256.4058691666263,2
-435.14051693613794,88.75185637940467,3
198.4028207856099,-219.03685173815475,1
-1455.1213734144594,-546.8120432801472,0
-1115.173614158232,-861.0539933278285,0
-736.1492954001076,-497.8542281512116,2
-209.58726478686572,208.07932866313666,3
-1309.2399723519052,-1423.659549637356,1
-875.0656735812533,-249.98965318996034,0
1329.089683971175,432.9712124936069,1
279.4148568707466,114.54256780298338,3
-1065.4772818026238,1273.1373214969608,2
5094.187039718442,2590.990078217427,3
-1806.9260720192008,-1995.0984008185312,0
-1440.052789262934,-784.0216023461442,0
-88.84372414340807,1.3410732025132415,2
-295.56015649838844,-120.16227016997722,2
704.4513121431562,63.321020106759896,3
1584.5440139327281,131.6272088744562,3
-1496.1121094819018,-583.5248103574268,2
1272.490839010401,1214.40027589344,3
-2051.637808020909,-948.8206936298474,0
-2337.0187664590358,-2548.4126266076346,0
-316.7685112823922,-225.46311885378913,0
748.1856114871232,114.50484051734591,1
1001.9032024998921,70.36099678972772,1
-1170.9548962184974,-414.558716897931,2
1630.1236282567124,1702.4658250908544,3
46.418959138961306,-381.63829673439784,1
-1319.0953361906002,-629.9939911676063,2
-1881.2714713912146,-1011.9768786746151,0
-1222.8259397886086,-438.41523452226596,2
-1794.6675891519856,-562.0832640798184,2
-651.2523781602752,-402.89311349414504,0
-1895.6596863291982,-2146.172487486388,0
-1674.2084798794244,6772.52464847977,2
-594.0333402140185,5618.297785843992,2
1298.8115343906836,881.2510703438653,3
-749.3718300534852,-442.0788009475063,2
-1978.5786515819802,-462.3035122796676,2
-1729.9425698406612,-799.634987109027,2
-558.2138130202349,-128.66635090558867,0
-1561.0400669296928,-2025.6462737185036,1
95.69445459048025,696.0389271358912,1
541.0703463688423,1124.7640189067613,1
-1048.459438540505,-603.2935787394669,0
-2977.941986271932,-3628.50546678754,0
-1363.5008010301194,-546.6253012269542,2
-1616.7966132386518,-649.0704187533194,2
-1458.8480099063834,-458.0515871120377,2
878.4736069370717,471.0229418818538,1
2.1859126828446325,-69.34714894421971,1
-511.3651883366858,5292.684708671657,2
-1413.1748484300106,293.90065542416045,2
1466.9268474467017,2443.209224997016,2
-1110.581700328143,801.0291595705785,2
-1575.1069440785102,-2204.5326414249266,0
139.0370798890308,-354.5388913406804,1
-964.240102162581,-708.5985250334198,0
-8.760734529991163,-114.85877914706901,1
-891.4016884966641,-195.64993274037042,0
-1227.1791479074361,-630.6580673207094,0
1318.5231511157879,218.01877576946856,3
959.0137980986051,228.9390285803346,1
-732.2274229184534,-430.7790175511867,2
-1228.901181586381,-677.2521220211917,0
1453.6996504027047,254.26440378036494,1
2161.1589824098423,681.9151787616354,3
-2205.742351391936,-817.081136871129,0
-589.1701421573258,-256.7760477426235,2
957.7966672017938,402.55177552452716,1
2671.4256786587644,-599.376781887191,3
-303.53633365972047,-118.56237429364347,2
2021.055604208151,554.7821588693981,3
-2065.041186434463,-1034.311871826524,0
-2265.7890336185096,-3357.615394072107,2
862.4256961729199,-3206.7062071031182,1
